ts,correlation,ph,dur,tid,pid,cbid,cat,External id,name
6444517264172.408,714,X,0.553,1221244,1221244,203,cuda_runtime,126,cudaStreamGetPriority
6444517264173.247,715,X,0.529,1221244,1221244,205,cuda_runtime,126,cudaDeviceGetStreamPriorityRange
6444517264192.697,719,X,9.783,1221244,1221244,211,cuda_runtime,126,cudaLaunchKernel
6444517264203.223,720,X,0.404,1221244,1221244,11,cuda_runtime,126,cudaPeekAtLastError
6444517264207.155,721,X,0.545,1221244,1221244,51,cuda_runtime,126,cudaMemsetAsync
6444517264208.324,722,X,12.008,1221244,1221244,211,cuda_runtime,126,cudaLaunchKernel
6444517264220.887,723,X,0.126,1221244,1221244,11,cuda_runtime,126,cudaPeekAtLastError
6444517264275.051,730,X,8.923,1221244,1221244,211,cuda_runtime,127,cudaLaunchKernel
6444517264349.409,744,X,2.239,1221244,1221244,135,cuda_runtime,130,cudaEventRecord
6444517264352.005,745,X,0.719,1221244,1221244,317,cuda_runtime,130,cudaStreamIsCapturing
6444517264353.008,746,X,0.584,1221244,1221244,203,cuda_runtime,130,cudaStreamGetPriority
6444517264353.925,747,X,0.596,1221244,1221244,205,cuda_runtime,130,cudaDeviceGetStreamPriorityRange
6444517264393.064,771,X,1.309,1221244,1221244,135,cuda_runtime,130,cudaEventRecord
6444517264394.579,772,X,0.48,1221244,1221244,317,cuda_runtime,130,cudaStreamIsCapturing
6444517264395.331,773,X,0.389,1221244,1221244,203,cuda_runtime,130,cudaStreamGetPriority
6444517264396.057,774,X,0.387,1221244,1221244,205,cuda_runtime,130,cudaDeviceGetStreamPriorityRange
6444517264407.621,782,X,1.707,1221244,1221244,273,cuda_runtime,130,cudaFuncSetAttribute
6444517264410.165,783,X,8.258,1221244,1221244,211,cuda_runtime,130,cudaLaunchKernel
6444517264446.023,790,X,6.229,1221244,1221244,211,cuda_runtime,138,cudaLaunchKernel
6444517264489.561,797,X,6.667,1221244,1221244,211,cuda_runtime,140,cudaLaunchKernel
6444517264588.673,810,X,2.439,1221244,1221244,135,cuda_runtime,144,cudaEventRecord
6444517264591.511,811,X,0.667,1221244,1221244,317,cuda_runtime,144,cudaStreamIsCapturing
6444517264592.657,812,X,0.579,1221244,1221244,203,cuda_runtime,144,cudaStreamGetPriority
6444517264593.551,813,X,0.502,1221244,1221244,205,cuda_runtime,144,cudaDeviceGetStreamPriorityRange
6444517264608.827,817,X,8.955,1221244,1221244,211,cuda_runtime,144,cudaLaunchKernel
6444517264620.127,819,X,7.653,1221244,1221244,211,cuda_runtime,144,cudaLaunchKernel
6444517264632.313,821,X,0.248,1221244,1221244,11,cuda_runtime,144,cudaPeekAtLastError
6444517264637.586,822,X,1.704,1221244,1221244,273,cuda_runtime,144,cudaFuncSetAttribute
6444517264639.511,823,X,0.586,1221244,1221244,273,cuda_runtime,144,cudaFuncSetAttribute
6444517264640.542,824,X,6.098,1221244,1221244,430,cuda_runtime,144,cudaLaunchKernelExC
6444517264647.851,826,X,0.157,1221244,1221244,11,cuda_runtime,144,cudaPeekAtLastError
6444517264703.402,833,X,8.409,1221244,1221244,211,cuda_runtime,145,cudaLaunchKernel
6444517264776.848,847,X,2.38,1221244,1221244,135,cuda_runtime,148,cudaEventRecord
6444517264779.638,848,X,0.724,1221244,1221244,317,cuda_runtime,148,cudaStreamIsCapturing
6444517264780.838,849,X,0.579,1221244,1221244,203,cuda_runtime,148,cudaStreamGetPriority
6444517264781.753,850,X,0.54,1221244,1221244,205,cuda_runtime,148,cudaDeviceGetStreamPriorityRange
6444517264818.138,874,X,1.283,1221244,1221244,135,cuda_runtime,148,cudaEventRecord
6444517264819.625,875,X,0.474,1221244,1221244,317,cuda_runtime,148,cudaStreamIsCapturing
6444517264820.313,876,X,0.397,1221244,1221244,203,cuda_runtime,148,cudaStreamGetPriority
6444517264820.955,877,X,0.368,1221244,1221244,205,cuda_runtime,148,cudaDeviceGetStreamPriorityRange
6444517264832.616,885,X,1.656,1221244,1221244,273,cuda_runtime,148,cudaFuncSetAttribute
6444517264835.045,886,X,7.69,1221244,1221244,211,cuda_runtime,148,cudaLaunchKernel
6444517264886.016,894,X,7.163,1221244,1221244,211,cuda_runtime,157,cudaLaunchKernel
6444517264972.951,907,X,2.147,1221244,1221244,135,cuda_runtime,161,cudaEventRecord
6444517264975.497,908,X,0.676,1221244,1221244,317,cuda_runtime,161,cudaStreamIsCapturing
6444517264976.562,909,X,0.605,1221244,1221244,203,cuda_runtime,161,cudaStreamGetPriority
6444517264977.457,910,X,0.494,1221244,1221244,205,cuda_runtime,161,cudaDeviceGetStreamPriorityRange
6444517264994.056,914,X,8.361,1221244,1221244,211,cuda_runtime,161,cudaLaunchKernel
6444517265004.601,916,X,5.324,1221244,1221244,211,cuda_runtime,161,cudaLaunchKernel
6444517265014.077,918,X,0.273,1221244,1221244,11,cuda_runtime,161,cudaPeekAtLastError
