ts,Input type,ph,Sequence number,Ev Idx,dur,tid,Fwd thread id,pid,Concrete Inputs,cat,Input Strides,Input Dims,External id,Record function id,name
6444517262598.836,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar""]",X,82,62,103.993,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], []]",63,0,aten::cudnn_batch_norm
6444517262612.601,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,63,14.347,1221244,,1221244,"["""", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[200704, 3136, 56, 1], [], [], [], [], []]","[[5, 64, 56, 56], [], [], [], [], []]",64,0,aten::empty_like
6444517262616.513,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",X,,64,9.332,1221244,,1221244,"[""[5, 64, 56, 56]"", ""6"", ""0"", """", """", ""0""]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",65,0,aten::empty
6444517262640.232,"[""float"", ""ScalarList""]",X,,65,2.127,1221244,,1221244,"["""", ""[1, 64, 1, 1]""]",cpu_op,"[[1], []]","[[64], []]",66,0,aten::view
6444517262645.819,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,66,7.662,1221244,,1221244,"[""[64]"", ""6"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",67,0,aten::empty
6444517262655.576,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,67,6.167,1221244,,1221244,"[""[64]"", ""6"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",68,0,aten::empty
6444517262665.16,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,68,4.953,1221244,,1221244,"[""[0]"", ""0"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",69,0,aten::empty
6444517262678.906,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",X,,69,4.955,1221244,,1221244,"[""[0]"", ""0"", ""0"", """", """", """"]",cpu_op,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",70,0,aten::empty
6444517262729.769,"[""float""]",X,83,70,32.968,1221244,0,1221244,"[""""]",cpu_op,"[[200704, 3136, 56, 1]]","[[5, 64, 56, 56]]",71,0,aten::relu_
6444517262735.092,"[""float"", ""Scalar""]",X,,71,18.709,1221244,,1221244,"["""", ""0""]",cpu_op,"[[200704, 3136, 56, 1], []]","[[5, 64, 56, 56], []]",72,0,aten::clamp_min_
6444517262791.462,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",X,84,72,96.584,1221244,0,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], []]",73,0,aten::conv2d
6444517262795.319,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar""]",X,84,73,92.028,1221244,0,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], []]",74,0,aten::convolution
6444517262802.651,"[""float"", ""float"", """", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,74,82.236,1221244,,1221244,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""False"", ""False"", ""True"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], [], [], [], [], []]",75,0,aten::_convolution
6444517262808.564,"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,,75,75.002,1221244,,1221244,"["""", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1"", ""False"", ""False"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [576, 9, 3, 1], [], [], [], [], [], [], []]","[[5, 64, 56, 56], [64, 64, 3, 3], [], [], [], [], [], [], []]",76,0,aten::cudnn_convolution
6444517262921.84,"[""long int"", ""long int"", ""Scalar""]",X,85,76,21.691,1221244,0,1221244,"["""", """", ""1""]",cpu_op,"[[], [], []]","[[], [], []]",77,0,aten::add_
6444517262969.145,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,85,77,111.255,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], [], []]",78,0,aten::batch_norm
6444517262971.434,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",X,85,78,108.414,1221244,0,1221244,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]",cpu_op,"[[200704, 3136, 56, 1], [1], [1], [1], [1], [], [], [], []]","[[5, 64, 56, 56], [64], [64], [64], [64], [], [], [], []]",79,0,aten::_batch_norm_impl_index
