ts,ph,tid,pid,cat,bp,id,name
6444517266766.214,f,7,0,ac2g,e,1226,ac2g
6444517266755.826,s,1221244,1221244,ac2g,,1226,ac2g
6444517266837.16,f,1221244,1221244,ac2g,e,1240,ac2g
6444517266839.932,f,1221244,1221244,ac2g,e,1241,ac2g
6444517266840.951,f,1221244,1221244,ac2g,e,1242,ac2g
6444517266841.923,f,1221244,1221244,ac2g,e,1243,ac2g
6444517266898.767,f,1221244,1221244,ac2g,e,1267,ac2g
6444517266900.407,f,1221244,1221244,ac2g,e,1268,ac2g
6444517266901.041,f,1221244,1221244,ac2g,e,1269,ac2g
6444517266901.615,f,1221244,1221244,ac2g,e,1270,ac2g
6444517266913.342,f,1221244,1221244,ac2g,e,1278,ac2g
6444517266926.054,f,7,0,ac2g,e,1279,ac2g
6444517266916.281,s,1221244,1221244,ac2g,,1279,ac2g
6444517266962.023,f,7,0,ac2g,e,1286,ac2g
6444517266954.568,s,1221244,1221244,ac2g,,1286,ac2g
6444517267006.631,f,7,0,ac2g,e,1293,ac2g
6444517266998.507,s,1221244,1221244,ac2g,,1293,ac2g
6444517267087.739,f,1221244,1221244,ac2g,e,1306,ac2g
6444517267090.378,f,1221244,1221244,ac2g,e,1307,ac2g
6444517267091.376,f,1221244,1221244,ac2g,e,1308,ac2g
6444517267092.313,f,1221244,1221244,ac2g,e,1309,ac2g
6444517267118.47,f,7,0,ac2g,e,1313,ac2g
6444517267108.719,s,1221244,1221244,ac2g,,1313,ac2g
6444517267126.342,f,7,0,ac2g,e,1315,ac2g
6444517267120.423,s,1221244,1221244,ac2g,,1315,ac2g
6444517267128.845,f,1221244,1221244,ac2g,e,1317,ac2g
6444517267130.922,f,1221244,1221244,ac2g,e,1318,ac2g
6444517267140.167,f,7,0,ac2g,e,1319,ac2g
6444517267132.206,s,1221244,1221244,ac2g,,1319,ac2g
6444517267139.819,f,1221244,1221244,ac2g,e,1322,ac2g
6444517267168.007,f,7,0,ac2g,e,1323,ac2g
6444517267142.288,s,1221244,1221244,ac2g,,1323,ac2g
6444517267212.135,f,7,0,ac2g,e,1331,ac2g
6444517267202.876,s,1221244,1221244,ac2g,,1331,ac2g
6444517267271.836,f,1221244,1221244,ac2g,e,1341,ac2g
6444517267273.719,f,1221244,1221244,ac2g,e,1342,ac2g
6444517267402.186,f,1221244,1221244,ac2g,e,1349,ac2g
6444517267405.504,f,1221244,1221244,ac2g,e,1350,ac2g
6444517267406.742,f,1221244,1221244,ac2g,e,1351,ac2g
6444517267407.81,f,1221244,1221244,ac2g,e,1352,ac2g
6444517267457.22,f,1221244,1221244,ac2g,e,1376,ac2g
6444517267458.854,f,1221244,1221244,ac2g,e,1377,ac2g
6444517267459.531,f,1221244,1221244,ac2g,e,1378,ac2g
6444517267460.528,f,1221244,1221244,ac2g,e,1379,ac2g
6444517267473.03,f,1221244,1221244,ac2g,e,1387,ac2g
6444517267488.583,f,7,0,ac2g,e,1388,ac2g
6444517267475.918,s,1221244,1221244,ac2g,,1388,ac2g
6444517267555.304,f,7,0,ac2g,e,1396,ac2g
