CUPTI_START_TIMESTAMP = 1732547349931562968
DRIVER cbid=626 [ 3442812 - 3442991 ] process 3315930, thread 1471948608, correlation 120
DRIVER cbid=626 [ 3443135 - 3443352 ] process 3315930, thread 1471948608, correlation 121
DRIVER cbid=626 [ 3443504 - 3443717 ] process 3315930, thread 1471948608, correlation 122
DRIVER cbid=626 [ 3443861 - 3444694 ] process 3315930, thread 1471948608, correlation 123
DRIVER cbid=626 [ 3444842 - 3445059 ] process 3315930, thread 1471948608, correlation 124
DRIVER cbid=626 [ 3445201 - 3445406 ] process 3315930, thread 1471948608, correlation 125
DRIVER cbid=626 [ 3445549 - 3445754 ] process 3315930, thread 1471948608, correlation 126
DRIVER cbid=626 [ 3445896 - 3446332 ] process 3315930, thread 1471948608, correlation 127
DRIVER cbid=626 [ 3446463 - 3446690 ] process 3315930, thread 1471948608, correlation 128
DRIVER cbid=626 [ 3446836 - 3447042 ] process 3315930, thread 1471948608, correlation 129
DRIVER cbid=626 [ 3447186 - 3447394 ] process 3315930, thread 1471948608, correlation 130
DRIVER cbid=626 [ 3447523 - 3447923 ] process 3315930, thread 1471948608, correlation 131
DRIVER cbid=626 [ 3448066 - 3448292 ] process 3315930, thread 1471948608, correlation 132
DRIVER cbid=626 [ 3448434 - 3448960 ] process 3315930, thread 1471948608, correlation 133
DRIVER cbid=626 [ 3449103 - 3449308 ] process 3315930, thread 1471948608, correlation 134
DRIVER cbid=626 [ 3449450 - 3449666 ] process 3315930, thread 1471948608, correlation 135
DRIVER cbid=626 [ 3449808 - 3450022 ] process 3315930, thread 1471948608, correlation 136
DRIVER cbid=626 [ 3450167 - 3450407 ] process 3315930, thread 1471948608, correlation 137
DRIVER cbid=626 [ 3450542 - 3450774 ] process 3315930, thread 1471948608, correlation 138
DRIVER cbid=626 [ 3450919 - 3451131 ] process 3315930, thread 1471948608, correlation 139
DRIVER cbid=626 [ 3451321 - 3451532 ] process 3315930, thread 1471948608, correlation 140
DRIVER cbid=626 [ 3451675 - 3452009 ] process 3315930, thread 1471948608, correlation 141
DRIVER cbid=626 [ 3452152 - 3452487 ] process 3315930, thread 1471948608, correlation 142
DRIVER cbid=626 [ 3452631 - 3453033 ] process 3315930, thread 1471948608, correlation 143
DRIVER cbid=626 [ 3453176 - 3453402 ] process 3315930, thread 1471948608, correlation 144
DRIVER cbid=626 [ 3453535 - 3454085 ] process 3315930, thread 1471948608, correlation 145
DRIVER cbid=626 [ 3454230 - 3454441 ] process 3315930, thread 1471948608, correlation 146
DRIVER cbid=626 [ 3454578 - 3454982 ] process 3315930, thread 1471948608, correlation 147
DRIVER cbid=626 [ 3455125 - 3455370 ] process 3315930, thread 1471948608, correlation 148
DRIVER cbid=626 [ 3455517 - 3455871 ] process 3315930, thread 1471948608, correlation 149
DRIVER cbid=626 [ 3456015 - 3456215 ] process 3315930, thread 1471948608, correlation 150
DRIVER cbid=626 [ 3456362 - 3456737 ] process 3315930, thread 1471948608, correlation 151
DRIVER cbid=626 [ 3456881 - 3457098 ] process 3315930, thread 1471948608, correlation 152
DRIVER cbid=626 [ 3457235 - 3457624 ] process 3315930, thread 1471948608, correlation 153
DRIVER cbid=626 [ 3457768 - 3457981 ] process 3315930, thread 1471948608, correlation 154
DRIVER cbid=626 [ 3458125 - 3458360 ] process 3315930, thread 1471948608, correlation 155
DRIVER cbid=626 [ 3458510 - 3458740 ] process 3315930, thread 1471948608, correlation 156
DRIVER cbid=626 [ 3458881 - 3459360 ] process 3315930, thread 1471948608, correlation 157
DRIVER cbid=626 [ 3459524 - 3459967 ] process 3315930, thread 1471948608, correlation 158
DRIVER cbid=626 [ 3460151 - 3460574 ] process 3315930, thread 1471948608, correlation 159
DRIVER cbid=626 [ 3460718 - 3460972 ] process 3315930, thread 1471948608, correlation 160
DRIVER cbid=626 [ 3461114 - 3461350 ] process 3315930, thread 1471948608, correlation 161
DRIVER cbid=626 [ 3461482 - 3461726 ] process 3315930, thread 1471948608, correlation 162
DRIVER cbid=626 [ 3461870 - 3462286 ] process 3315930, thread 1471948608, correlation 163
DRIVER cbid=626 [ 3462429 - 3462818 ] process 3315930, thread 1471948608, correlation 164
DRIVER cbid=626 [ 3462969 - 3463373 ] process 3315930, thread 1471948608, correlation 165
